_Id;Amparo Legal;Ano;Descricao Infracao;Escopo Autuacao;Mes;Quantidade Autos;Uf
6407641B305A576376E6F342;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo excedendo a CMT acima de 1000 kg;CMT - Capacidade Máxima de Tração;JANEIRO;3;SC
6407641B305A576376E6F343;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;2021;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;Evasão de Balança;JANEIRO;41;ES
6407641B305A576376E6F34A;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Excesso de Peso;JANEIRO;172;MG
6407641B305A576376E6F34F;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;JANEIRO;33;PR
6407641B305A576376E6F35B;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;JANEIRO;478;SC
6407641B305A576376E6F35C;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;JANEIRO;46;SP
6407641B305A576376E6F35E;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;JANEIRO;443;SP
6407641B305A576376E6F360;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;CMT - Capacidade Máxima de Tração;FEVEREIRO;1;RJ
6407641B305A576376E6F361;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo excedendo a CMT acima de 1000 kg;CMT - Capacidade Máxima de Tração;FEVEREIRO;3;RJ
6407641B305A576376E6F365;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;2021;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;Evasão de Balança;FEVEREIRO;6508;RJ
6407641B305A576376E6F36B;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;FEVEREIRO;32;MG
6407641B305A576376E6F36C;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Excesso de Peso;FEVEREIRO;84;MG
6407641B305A576376E6F371;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC;Excesso de Peso;FEVEREIRO;276;RJ
6407641B305A576376E6F373;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;FEVEREIRO;3275;RJ
6407641B305A576376E6F375;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Excesso de Peso;FEVEREIRO;33;RS
6407641B305A576376E6F379;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;2021;Transitar com o veículo com excesso de peso - Por Eixo;Excesso de Peso;FEVEREIRO;626;SC
